model_type,seq_len,units,learning_rate,train_split,MAE,RMSE,MAPE
Baseline_LSTM,20,32,0.001,0.7,0.01886826177441687,0.023511301338575076,130.24472804429558
Attention_LSTM,20,32,0.001,0.7,0.0237283323822961,0.029561797693432444,130.25648753317105
Baseline_LSTM,20,32,0.001,0.8,0.018414011396496538,0.023033734040507358,139.9759200934546
Attention_LSTM,20,32,0.001,0.8,0.02424601027933534,0.03033766817092806,139.81703457237217
Baseline_LSTM,20,32,0.0005,0.7,0.02228194276650467,0.028056684345494923,129.10077842215043
Attention_LSTM,20,32,0.0005,0.7,0.026029365737511176,0.03279797866722713,128.7540175004688
Baseline_LSTM,20,32,0.0005,0.8,0.023797645005610546,0.02944521614017052,138.87585491862916
Attention_LSTM,20,32,0.0005,0.8,0.025828574327570897,0.03232759014711824,139.9495852426488
Baseline_LSTM,20,64,0.001,0.7,0.019550804831442455,0.024467610919505212,130.87034586668855
Attention_LSTM,20,64,0.001,0.7,0.02548855976154707,0.03151030808623449,128.41062720418302
Baseline_LSTM,20,64,0.001,0.8,0.018810910163292466,0.023465700407761015,140.27527013532554
Attention_LSTM,20,64,0.001,0.8,0.023450199932515122,0.02943212603203719,142.6749875877931
Baseline_LSTM,20,64,0.0005,0.7,0.020415695686871294,0.02559474193182167,129.3436687610503
Attention_LSTM,20,64,0.0005,0.7,0.024870975716172403,0.030828701374718066,129.47775858998511
Baseline_LSTM,20,64,0.0005,0.8,0.018559146208736995,0.023248819957857818,140.24678391338924
Attention_LSTM,20,64,0.0005,0.8,0.024351284963941608,0.030266860978640966,140.21960817807107
Baseline_LSTM,30,32,0.001,0.7,0.022077722580401717,0.02770022595999019,129.5375379514846
Attention_LSTM,30,32,0.001,0.7,0.029985052838102315,0.03639194638119383,127.93303783166978
Baseline_LSTM,30,32,0.001,0.8,0.01938506206228238,0.024031785409187628,139.2574263776956
Attention_LSTM,30,32,0.001,0.8,0.031032352036354027,0.037872197350463856,137.70510861568306
Baseline_LSTM,30,32,0.0005,0.7,0.030758631839832958,0.0384697995643295,128.74414069304945
Attention_LSTM,30,32,0.0005,0.7,0.028932563468077075,0.03564822251320057,129.27360803359574
Baseline_LSTM,30,32,0.0005,0.8,0.021688781840401312,0.027139514215902768,139.707560770531
Attention_LSTM,30,32,0.0005,0.8,0.02874838759455807,0.035727816788802935,140.90192404325293
Baseline_LSTM,30,64,0.001,0.7,0.02011354828911711,0.024883172291837726,127.93041445010064
Attention_LSTM,30,64,0.001,0.7,0.020675393651934208,0.025920144468860873,131.9603957755625
Baseline_LSTM,30,64,0.001,0.8,0.018376107503937953,0.022946754532661342,140.2161768738094
Attention_LSTM,30,64,0.001,0.8,0.018091988538886786,0.02289461346330577,142.57693277169122
Baseline_LSTM,30,64,0.0005,0.7,0.01988577287791114,0.025036835671989853,130.8046690124086
Attention_LSTM,30,64,0.0005,0.7,0.027822618721019664,0.034740677414638266,128.46672668643671
Baseline_LSTM,30,64,0.0005,0.8,0.01945617794679172,0.02459536054210564,143.5274379531179
Attention_LSTM,30,64,0.0005,0.8,0.025559245370120845,0.03154311369974399,138.30970754595046
